report_year,report_week,district,year,week,cases
2023,4,Mullaitivu,2023,3,1.0
2023,4,Mullaitivu,2023,4,0.0
2023,4,Batticaloa,2022,3,26.0
2023,4,Batticaloa,2022,4,15.0
2023,4,Batticaloa,2023,3,52.0
2023,4,Batticaloa,2023,4,39.0
2023,4,Ampara,2022,3,8.0
2023,4,Ampara,2022,4,4.0
2023,4,Ampara,2023,3,3.0
2023,4,Ampara,2023,4,0.0
2023,4,Trincomalee,2022,3,41.0
2023,4,Trincomalee,2022,4,27.0
2023,4,Trincomalee,2023,3,38.0
2023,4,Trincomalee,2023,4,43.0
2023,4,Kalmunai,2022,3,42.0
2023,4,Kalmunai,2022,4,30.0
2023,4,Kalmunai,2023,3,163.0
2023,4,Kalmunai,2023,4,108.0
2023,4,Kurunegala,2022,3,109.0
2023,4,Kurunegala,2022,4,82.0
2023,4,Kurunegala,2023,3,61.0
2023,4,Kurunegala,2023,4,80.0
2023,4,Puttalam,2022,3,96.0
2023,4,Puttalam,2022,4,84.0
2023,4,Puttalam,2023,3,294.0
2023,4,Puttalam,2023,4,190.0
2023,4,Anuradhapura,2022,3,9.0
2023,4,Anuradhapura,2022,4,32.0
2023,4,Anuradhapura,2023,3,17.0
2023,4,Anuradhapura,2023,4,14.0
2023,4,Polonnaruwa,2022,3,3.0
2023,4,Polonnaruwa,2022,4,5.0
2023,4,Polonnaruwa,2023,3,12.0
2023,4,Polonnaruwa,2023,4,18.0
2023,4,Badulla,2022,3,25.0
2023,4,Badulla,2022,4,42.0
2023,4,Badulla,2023,3,30.0
2023,4,Badulla,2023,4,32.0
2023,4,Monaragala,2022,3,14.0
2023,4,Monaragala,2022,4,13.0
2023,4,Monaragala,2023,3,12.0
2023,4,Monaragala,2023,4,7.0
2023,4,Ratnapura,2022,3,62.0
2023,4,Ratnapura,2022,4,44.0
2023,4,Ratnapura,2023,3,43.0
2023,4,Ratnapura,2023,4,54.0
2023,4,Kegalle,2022,3,20.0
2023,4,Kegalle,2022,4,40.0
2023,4,Kegalle,2023,3,76.0
2023,4,Kegalle,2023,4,74.0
2023,4,Total,2022,3,1655.0
2023,4,Total,2022,4,1297.0
2023,4,Total,2023,3,2032.0
2023,4,Total,2023,4,1944.0
